bert-base-uncased	{'CR': {'devacc': 86.73, 'acc': 86.65, 'ndev': 3775, 'ntest': 3775}, 'MR': {'devacc': 81.88, 'acc': 81.94, 'ndev': 10662, 'ntest': 10662}, 'MPQA': {'devacc': 87.78, 'acc': 87.96, 'ndev': 10606, 'ntest': 10606}, 'SUBJ': {'devacc': 95.34, 'acc': 95.7, 'ndev': 10000, 'ntest': 10000}, 'SST2': {'devacc': 85.78, 'acc': 86.66, 'ndev': 872, 'ntest': 1821}, 'SST5': {'devacc': 46.05, 'acc': 45.84, 'ndev': 1101, 'ntest': 2210}}
./finetuned-scrumbled-wikitext2-3e-4/checkpoint-880	{'CR': {'devacc': 79.03, 'acc': 79.6, 'ndev': 3775, 'ntest': 3775}, 'MR': {'devacc': 72.62, 'acc': 73.49, 'ndev': 10662, 'ntest': 10662}, 'MPQA': {'devacc': 85.49, 'acc': 85.97, 'ndev': 10606, 'ntest': 10606}, 'SUBJ': {'devacc': 91.29, 'acc': 91.75, 'ndev': 10000, 'ntest': 10000}, 'SST2': {'devacc': 79.01, 'acc': 76.5, 'ndev': 872, 'ntest': 1821}, 'SST5': {'devacc': 41.78, 'acc': 39.37, 'ndev': 1101, 'ntest': 2210}}
./finetuned-scrumbled-wikitext2-3e-4/checkpoint-960	{'CR': {'devacc': 78.4, 'acc': 79.71, 'ndev': 3775, 'ntest': 3775}, 'MR': {'devacc': 72.37, 'acc': 72.77, 'ndev': 10662, 'ntest': 10662}, 'MPQA': {'devacc': 84.84, 'acc': 85.24, 'ndev': 10606, 'ntest': 10606}, 'SUBJ': {'devacc': 91.84, 'acc': 91.83, 'ndev': 10000, 'ntest': 10000}, 'SST2': {'devacc': 76.95, 'acc': 77.32, 'ndev': 872, 'ntest': 1821}, 'SST5': {'devacc': 41.33, 'acc': 40.27, 'ndev': 1101, 'ntest': 2210}}
./finetuned-scrumbled-wikitext2-3e-4/checkpoint-1040	{'CR': {'devacc': 78.91, 'acc': 79.02, 'ndev': 3775, 'ntest': 3775}, 'MR': {'devacc': 72.62, 'acc': 72.95, 'ndev': 10662, 'ntest': 10662}, 'MPQA': {'devacc': 85.27, 'acc': 85.83, 'ndev': 10606, 'ntest': 10606}, 'SUBJ': {'devacc': 91.42, 'acc': 91.74, 'ndev': 10000, 'ntest': 10000}, 'SST2': {'devacc': 76.38, 'acc': 76.61, 'ndev': 872, 'ntest': 1821}, 'SST5': {'devacc': 41.14, 'acc': 39.32, 'ndev': 1101, 'ntest': 2210}}
./finetuned-scrumbled-wikitext2-3e-4/checkpoint-1120	{'CR': {'devacc': 77.67, 'acc': 78.2, 'ndev': 3775, 'ntest': 3775}, 'MR': {'devacc': 72.4, 'acc': 72.41, 'ndev': 10662, 'ntest': 10662}, 'MPQA': {'devacc': 85.41, 'acc': 85.68, 'ndev': 10606, 'ntest': 10606}, 'SUBJ': {'devacc': 91.67, 'acc': 92.0, 'ndev': 10000, 'ntest': 10000}, 'SST2': {'devacc': 76.72, 'acc': 76.5, 'ndev': 872, 'ntest': 1821}, 'SST5': {'devacc': 38.87, 'acc': 38.1, 'ndev': 1101, 'ntest': 2210}}
./finetuned-scrumbled-wikitext2-3e-4/checkpoint-1200	{'CR': {'devacc': 76.96, 'acc': 78.25, 'ndev': 3775, 'ntest': 3775}, 'MR': {'devacc': 72.34, 'acc': 72.44, 'ndev': 10662, 'ntest': 10662}, 'MPQA': {'devacc': 83.21, 'acc': 83.59, 'ndev': 10606, 'ntest': 10606}, 'SUBJ': {'devacc': 91.12, 'acc': 91.6, 'ndev': 10000, 'ntest': 10000}, 'SST2': {'devacc': 77.06, 'acc': 78.14, 'ndev': 872, 'ntest': 1821}, 'SST5': {'devacc': 38.69, 'acc': 39.73, 'ndev': 1101, 'ntest': 2210}}
./finetuned-scrumbled-wikitext2-3e-4/checkpoint-1280	{'CR': {'devacc': 78.16, 'acc': 78.7, 'ndev': 3775, 'ntest': 3775}, 'MR': {'devacc': 72.01, 'acc': 72.18, 'ndev': 10662, 'ntest': 10662}, 'MPQA': {'devacc': 83.9, 'acc': 84.49, 'ndev': 10606, 'ntest': 10606}, 'SUBJ': {'devacc': 91.7, 'acc': 91.85, 'ndev': 10000, 'ntest': 10000}, 'SST2': {'devacc': 76.95, 'acc': 75.95, 'ndev': 872, 'ntest': 1821}, 'SST5': {'devacc': 39.87, 'acc': 38.28, 'ndev': 1101, 'ntest': 2210}}
./finetuned-scrumbled-wikitext2-3e-4/checkpoint-1360	{'CR': {'devacc': 77.51, 'acc': 77.83, 'ndev': 3775, 'ntest': 3775}, 'MR': {'devacc': 72.4, 'acc': 72.69, 'ndev': 10662, 'ntest': 10662}, 'MPQA': {'devacc': 85.37, 'acc': 85.66, 'ndev': 10606, 'ntest': 10606}, 'SUBJ': {'devacc': 91.47, 'acc': 91.54, 'ndev': 10000, 'ntest': 10000}, 'SST2': {'devacc': 77.98, 'acc': 77.32, 'ndev': 872, 'ntest': 1821}, 'SST5': {'devacc': 39.51, 'acc': 40.0, 'ndev': 1101, 'ntest': 2210}}
./finetuned-scrumbled-wikitext2-3e-4/checkpoint-1440	{'CR': {'devacc': 77.3, 'acc': 77.8, 'ndev': 3775, 'ntest': 3775}, 'MR': {'devacc': 72.03, 'acc': 72.25, 'ndev': 10662, 'ntest': 10662}, 'MPQA': {'devacc': 84.97, 'acc': 85.28, 'ndev': 10606, 'ntest': 10606}, 'SUBJ': {'devacc': 90.99, 'acc': 91.45, 'ndev': 10000, 'ntest': 10000}, 'SST2': {'devacc': 77.41, 'acc': 77.48, 'ndev': 872, 'ntest': 1821}, 'SST5': {'devacc': 40.78, 'acc': 40.05, 'ndev': 1101, 'ntest': 2210}}
./finetuned-scrumbled-wikitext2-3e-4/checkpoint-1520	{'CR': {'devacc': 77.34, 'acc': 78.73, 'ndev': 3775, 'ntest': 3775}, 'MR': {'devacc': 71.88, 'acc': 71.95, 'ndev': 10662, 'ntest': 10662}, 'MPQA': {'devacc': 84.91, 'acc': 85.53, 'ndev': 10606, 'ntest': 10606}, 'SUBJ': {'devacc': 90.98, 'acc': 91.51, 'ndev': 10000, 'ntest': 10000}, 'SST2': {'devacc': 76.95, 'acc': 76.94, 'ndev': 872, 'ntest': 1821}, 'SST5': {'devacc': 39.06, 'acc': 38.91, 'ndev': 1101, 'ntest': 2210}}
./finetuned-scrumbled-wikitext2-3e-4/checkpoint-1600	{'CR': {'devacc': 77.88, 'acc': 78.33, 'ndev': 3775, 'ntest': 3775}, 'MR': {'devacc': 71.9, 'acc': 73.15, 'ndev': 10662, 'ntest': 10662}, 'MPQA': {'devacc': 84.99, 'acc': 85.23, 'ndev': 10606, 'ntest': 10606}, 'SUBJ': {'devacc': 90.81, 'acc': 91.14, 'ndev': 10000, 'ntest': 10000}, 'SST2': {'devacc': 76.26, 'acc': 76.55, 'ndev': 872, 'ntest': 1821}, 'SST5': {'devacc': 40.51, 'acc': 39.1, 'ndev': 1101, 'ntest': 2210}}
